Date,HDFCBANK.NS,ICICIBANK.NS
2020-09-11,510.8354797363281,358.3429870605469
2020-09-14,501.0321960449219,351.7660827636719
2020-09-15,506.9757995605469,359.3585205078125
2020-09-16,517.9393310546875,362.4051818847656
2020-09-17,513.1796875,356.8922119140625
2020-09-18,500.7243957519531,357.4241638183594
2020-09-21,496.93572998046875,339.19268798828125
2020-09-22,490.35284423828125,342.7712707519531
2020-09-23,495.96484375,340.3049621582031
2020-09-24,487.98486328125,324.68487548828125
2020-09-25,494.42572021484375,337.2099304199219
2020-09-28,499.2561950683594,351.0890808105469
2020-09-29,503.2108459472656,345.33428955078125
2020-09-30,510.8117980957031,343.1097717285156
2020-10-01,524.238037109375,357.0856628417969
2020-10-05,527.7425537109375,360.8576965332031
2020-10-06,541.8318481445312,368.11163330078125
2020-10-07,550.4274291992188,370.09429931640625
2020-10-08,564.4219970703125,374.7851867675781
2020-10-09,584.1942749023438,388.3257751464844
2020-10-12,574.7698364257812,390.7921142578125
2020-10-13,567.5712280273438,383.248046875
2020-10-14,573.7516479492188,393.451904296875
2020-10-15,553.7425537109375,378.1703796386719
2020-10-16,567.9974975585938,383.10302734375
2020-10-19,569.9866333007812,403.4139709472656
2020-10-20,579.6477661132812,400.9960021972656
2020-10-21,590.421875,406.5089416503906
2020-10-22,584.0758666992188,399.35174560546875
2020-10-23,585.2598266601562,403.26885986328125
2020-10-26,573.4674682617188,391.17901611328125
2020-10-27,583.9810791015625,396.4985656738281
2020-10-28,572.851806640625,383.0545959472656
2020-10-29,562.2434692382812,386.7783203125
2020-10-30,560.514892578125,379.7178649902344
2020-11-02,575.5275268554688,403.7524719238281
2020-11-03,591.0138549804688,429.28619384765625
2020-11-04,595.4893188476562,422.70928955078125
2020-11-05,601.07763671875,424.1117248535156
2020-11-06,619.287109375,428.2706298828125
2020-11-09,634.8681030273438,447.5177001953125
2020-11-10,660.0157470703125,467.97369384765625
2020-11-11,658.2633666992188,470.5851135253906
2020-11-12,649.620361328125,461.0583190917969
2020-11-13,643.5111694335938,469.6178894042969
2020-11-14,648.6732788085938,470.9236145019531
2020-11-17,667.0247192382812,470.4400329589844
2020-11-18,667.1431274414062,481.3208923339844
